dataset,accuracy,rules
anneal,0.9399678317936745,40.2
australian,0.8637297527706733,9.1
autos,0.7888629181649776,31.8
breast-w,0.9441804449887732,9.6
colic,0.8591038406827881,4.6
credit-a,0.860979174278407,7.3
credit-g,0.716,26.8
diabetes,0.7358509911141491,7.7
glass,0.6509046991655688,14.8
heart-statlog,0.7592592592592593,11.1
hepatitis,0.8067401960784315,3.9
hypothyroid,0.9957608393329979,12.1
ionosphere,0.8741876750700281,7.0
iris,0.9400000000000001,3.7
labor,0.71,3.5
letter,0.8793571774103078,1181.3
lymph,0.7401785714285715,8.4
segment,0.9662337662337663,38.6
sonar,0.6782034632034633,6.6
spambase,0.929364213729127,84.7
vehicle,0.7196605559786394,44.4
vowel,0.8333333333333333,115.9
dataset,accuracy,rules
kr-vs-kp,0.9934296445259362,25.4
tic-tac-toe,0.9425957451618737,30.8
audiology,0.8119861217687305,28.0
balance-scale,0.772790788446526,27.8
car,0.9710235152880587,58.6
breast-cancer,0.7304926108374384,5.9
house-votes-84,0.9584440753045405,4.1
primary-tumor,0.4149415561357537,21.8
soybean,0.9324862332738884,43.4
splice,0.9454676176786261,31.5
mushroom,1.0,20.7
zoo,0.934040404040404,7.2
waveform-5000,0.7653871324425537,102.3
vote,0.9584440753045405,4.1
