dataset,accuracy,rules
anneal,0.9432018200276628,14.0
australian,0.8508506881013276,4.0
autos,0.7890367741299419,15.0
breast-w,0.9584874464176363,5.8
colic,0.839805595068753,3.4
credit-a,0.849088417975886,4.8
credit-g,0.72,7.1
diabetes,0.7526315789473684,3.5
glass,0.6744773040968693,7.875
heart-statlog,0.7740740740740741,4.6
hepatitis,0.7941911764705882,3.9
hypothyroid,0.9949622652677327,4.7
ionosphere,0.9143837535014006,5.9
iris,0.9185185185185186,3.888888888888889
labor,0.8777777777777778,3.0
letter,0.876013699094029,662.6
lymph,0.7749404761904761,7.8
segment,0.954978354978355,21.5
sonar,0.7444805194805195,5.6
spambase,0.9284913352306875,16.9
vehicle,0.6711850384421139,20.8
vowel,0.7666666666666667,53.9
kr-vs-kp,0.9924931303109166,16.2
tic-tac-toe,0.9770495342738288,10.2
audiology,0.7548836256910791,20.571428571428573
balance-scale,0.814479573250065,16.7
car,0.9056864717894694,99.2
breast-cancer,0.7197783251231529,3.2
house-votes-84,0.9538986207590858,2.5
primary-tumor,0.3553130929791271,11.0
soybean,0.9082273615193521,27.2
splice,0.9423111401570428,13.3
mushroom,1.0,8.6
zoo,0.9258585858585858,7.6
waveform-5000,0.7892040204527351,29.4
vote,0.9538986207590858,2.5
