dataset,accuracy,rules
anneal,0.9466855616293819,37.3
australian,0.8637291438314456,5.6
autos,0.7770693945007446,22.4
breast-w,0.9570381710553176,9.7
colic,0.8564011379800854,6.4
credit-a,0.8638150042625744,8.0
credit-g,0.725,23.6
diabetes,0.7384483937115516,10.8
glass,0.690272601794341,16.0
heart-statlog,0.8296296296296296,8.6
hepatitis,0.7812745098039214,6.1
hypothyroid,0.99364232463601,8.3
ionosphere,0.8830112044817927,4.7
iris,0.9266666666666667,5.2
labor,0.8433333333333334,5.1
lymph,0.7757738095238096,10.6
segment,0.96017316017316,27.3
sonar,0.7276839826839827,7.1
spambase,0.9371841621261874,39.6
vehicle,0.7290281948396359,35.2
vowel,0.78989898989899,80.8
kr-vs-kp,0.9921757260306384,27.5
tic-tac-toe,0.946796663049376,33.9
audiology,0.7866627937280113,18.9
balance-scale,0.7905932864949258,40.7
car,0.9623359979036055,43.6
breast-cancer,0.6964778325123152,6.2
house-votes-84,0.9424267592872246,6.0
primary-tumor,0.40393904987008955,26.1
soybean,0.9151860751527691,36.8
splice,0.941389344885707,13.6
mushroom,1.0,4.0
zoo,0.9542424242424243,8.5
waveform-5000,0.789778441,64.9vote,0.9424267592872246,6.0
