dataset,accuracy,rules
australian,0.811944951894,88
heart-statlog,0.807407407407,52
kr-vs-kp,0.976859313696,40
tic-tac-toe,1.0,9
audiology,0.745191511387,51
balance-scale,0.857470725995,73
car,0.897025489373,11
breast-cancer,0.678374384236,79
house-votes-84,0.937881304742,41
primary-tumor,0.43184326851,61
soybean,0.872453628908,44
splice,0.878366241623,116
vote,0.937881304742,41
zoo,0.94202020202,8
anneal,0.969959216813,34
autos,0.792022901457,50
breast-w,0.948506983933,49
colic,0.807736684052,93
credit-a,0.855138838144,136
credit-g,0.743,191
diabetes,0.7500683527,51
glass,0.710373611895,30
hepatitis,0.764362745098,33
hypothyroid,0.97720571562,32
ionosphere,0.911848739496,48
iris,0.933333333333,7
labor,0.89,13
letter,0.266034427826,91
lymph,0.786944444444,38
sonar,0.74512987013,40
vehicle,0.693812225025,88
vowel,0.658585858586,126
waveform-5000,0.803810086772,617
spambase,0.934364236331,449
segment,0.9329004329,142
